Wort,Rank,Sprachniveau_Est,Wortart,Erklärung,DWDS_Erklärung,Synonyme,Beispielsatz
ob,128,A1-B1,Conj,"leitet indirekte Fragesätze sowie Ungewissheit, Zweifel oder dergleichen ausdrückende Nebensätze ein","doch! | aufgrund von, wegen | über, oberhalb von","obgleich, obschon, obwohl, obzwar","Fragesatz: Er wollte wissen, ob wir einen Hund besitzen."
raus,129,A1-B1,Adverb,"schnell gesprochenes, in flüssiger Rede und umgangssprachlich und in vielen Dialekten auftauchendes heraus oder hinaus","heraus, hinaus","hinaus, heraus","Komm doch raus, die Sonne scheint!"
gemacht,130,A1-B1,Adjektiv,mit berechnender Absicht erzeugt statt unwillkürlich/natürlich entstanden/geworden,"gekünstelt, nicht echt | einverstanden!","unecht, etabliert, künstlich, fertig","„Es ist zwar nicht Jedem in gleicher Weise gegeben, freundlich zu sein, und eine gemachte Freundlichkeit, ein stabiles Lächeln ist ein widerlicher Anblick; […]“"
paar,131,A1-B1,Adjektiv,zweifach vorkommend,,"paarweise, paarig","Unpaare und paare Flossen sind vorhanden, …"
passiert,132,A1-B1,Adjektiv,durch ein feinmaschiges Sieb oder ein Tuch gestrichen,"eine bestimmte Wegstrecke, ein bestimmtes Gebiet durchqueren, durchfahren | etw. überqueren | etw. durch ein Sieb drücken, pressen",,Er kaufte eine Dose mit passierten Tomaten.
besser,133,A1-B1,Adjektiv,"in hohem, höherem Maße passend",in sozial gehobener Stellung,"zweckmäßiger, erfolgversprechender, wirksamer, wirtschaftlicher, lohnender",Hast du eine bessere Antwort?
wieso,134,A1-B1,Adverb,leitet eine indirekte Frage nach dem Grund ein,warum,"weshalb, weswegen, warum","Er fragte sie, wieso sie ihn geschlagen habe."
selbst,135,A1-B1,Pron,persönlich,ohne fremde Hilfe | sogar,"selber, persönlich, allein",Ich selbst habe das Essen gekocht.
ohne,136,A1-B1,Prep,etwas oder jemanden ausschließend,nicht gerechnet,"außer, ausgenommen, sonder, exklusive",Ohne dich gehe ich nirgendwo hin.
her,137,A1-B1,Adverb,Bewegung in Richtung des Sprechenden von einem entfernteren Ort aus,"hierher, an diese Stelle | zwei Jahre sind vergangen","seit, hierher, herbei","„Her mit den kleinen Engländerinnen“ (Filmtitel, 1975)"
helfen,138,A1-B1,Verb,jemandem das Tun einer Sache durch Übernehmen bestimmter Teile oder einen Ratschlag ermöglichen oder erleichtern,"jmdn. bei einer Tätigkeit, einem Vorhaben unterstützen, jmdm. behilflich sein | jmdm. zu etw. verhelfen | etw. ist (jmdm.) förderlich, etw. nützt (jmdm.)",,"Lass mich dir helfen, dann geht es schneller."
finden,139,A1-B1,Verb,"etwas oder jemanden durch Suchen oder durch Zufall entdecken, sehen","durch Suchen oder zufällig auf etw., jmdn. stoßen | auf etw. kommen | sich treffen, zusammenkommen",,"„Wenn sie dieses Foto fänden, wäre es für alle Welt ersichtlich, dass die Geschichte des Motorfluges, großzügig betrachtet, im fränkischen Leutershausen ihren Anfang nahm und nicht auf einer Sanddühne in North Carolina.“"
lange,140,A1-B1,Adverb,über einen großen Zeitraum hinweg,"sich über eine relativ große Zeitspanne erstreckend | seit geraumer Zeit | bei weitem, längst",,Ich habe lange auf dich gewartet.
natürlich,141,A1-B1,Adjektiv,"sich auf die Natur beziehend, naturgemäß, in der Natur vorkommend","von Natur aus gegeben, nicht vom Menschen geschaffen, nicht künstlich | angeboren | unverbildet, ungezwungen","einfach, naturbezogen, unbehandelt, grün, naturell",Die natürlichen Ressourcen sind begrenzt.
ach,142,A1-B1,Intj,drückt Verwunderung aus,,"gar, zumal, ei","ach du liebe Zeit! • ach du meine Güte! • ach du liebe Güte! • ach du Schreck! • ach du mein Schreck! • ach du lieber Schreck! • ach, wer kommt denn da? · ach, woher kommst du denn so plötzlich! ·"
gar,143,A1-B1,Adjektiv,"gegart, gut gekocht, durchgebraten, durchgebacken","gut durchgekocht, durchgebraten, durchgebacken | der Boden zeigt die günstigsten physikalischen, chemischen und biologischen Eigenschaften | zu Ende","vorbei, vorüber, aus, alle, bereit","attributiv: Das gare Gemüse lässt sich zwar leichter kauen, enthält aber längst nicht mehr alle seine ursprünglichen Inhaltsstoffe."
dort,144,A1-B1,Adverb,"Hinweis auf einen Ort, stärker als da",,da,Den Tisch dort möchten wir kaufen.
weiter,145,A1-B1,Adjektiv,"zum bereits Vorhandenen noch dazukommend, hinzugefügt","hinzukommend, hinzutretend, zusätzlich | außerdem | weiterhin, in der folgenden Zeit, dann",,Haben Sie weitere Fragen zum Thema?
geben,146,A1-B1,Verb,jemandem etwas reichen beziehungsweise in die Nähe oder Hände legen,"jmdn. zum Eigentümer von etw. machen | jmdm. etw. schenken | jmd. hat die Eigenschaft, Gabe","existieren, sein, bestehen, vergaben, sich finden",Er gibt seiner Freundin die Jacke.
seit,147,A1-B1,Prep,"von … an, ausgehend von …","von einem bestimmten Zeitpunkt, Zeitraum an bis zur Gegenwart des Sprechers andauernd | von dem Zeitpunkt an, da",ab,Seit dem Start von Juri Gagarin am 12. April 1961 gibt es bemannte Raumfahrt.
gleich,148,A1-B1,Adjektiv,"in jeder Hinsicht einander ähnelnd; so geartet, dass die Eigenschaften zweier Dinge sich wenig beziehungsweise gar nicht unterscheiden","derselbe, dieselbe, dasselbe | völlig übereinstimmend, keine erkennbaren Unterschiede aufweisend | in bestimmten, wesentlichen Merkmalen große Übereinstimmung zeigend","unverändert, ähnlich, identisch",Das Fell eines Hundes ist dem einer Katze gleich.
recht,149,A1-B1,Adjektiv,"zu der Seite gehörig, auf der die meisten Menschen das Herz nicht haben","auf der Körperseite befindlich, auf der nicht das Herz liegt | rechts liegend | in der politischen Anschauung zur Rechten gehörend","gesetzesgemäß, gesetzestreu, rechtwinklig, steuerbords",Ich habe mir den rechten Arm gebrochen.
richtig,150,A1-B1,Adjektiv,"der Wirklichkeit entsprechend, wahr, nicht falsch","nicht falsch, so, wie es sein sollte | dem Falschen, Verkehrten entgegengesetzt | der gegebenen Situation entsprechend, angemessen, passend, recht","echt, korrekt, wahr, regelrecht",Das ist richtig.
hören,151,A1-B1,Verb,mit den Ohren,"den Schall mit dem Gehör wahrnehmen | etw. anhören, etw. gewollt aufnehmen | jmdm. zuhören mit dem Ziel, Schlüsse zu ziehen","lauschen, anhören, annehmen, befolgen, an","„Ich höre in mich rein: In mir muss doch was sein? / Ich hör nur ‚gacks‘ und ‚gicks‘ – in mir, da ist wohl nix.“"
davon,152,A1-B1,Adverb,"Bezugnahme auf einen bestimmten Ort; Entfernung ab da oder Ablösung, Trennung, Befreiung von dort","weg, fort | dadurch | von dieser Art",,Viele Kilometer davon entfernt sahen wir das Unwetter.
dafür,153,A1-B1,Adverb,zu diesem Zweck,"für diesen Zweck | zugunsten dieser Sache | dagegen, gegen diese Krankheit, Unsitte",,Ich möchte einen neuen Computer kaufen. Dafür brauche ich Geld.
wegen,154,A1-B1,Prep,"auf Grund, verursacht durch, auf Veranlassung von, mit Rücksicht auf","aufgrund (von), infolge | um … willen","auf … hin, aufgrund, auf Grund, ob",Wegen des defekten Wagens wurde die Straße blockiert.
hin,155,A1-B1,Adverb,in Richtung,"manchmal, zuweilen, ab und zu | aufgrund | verloren, weg","kaputt, begeistert, defekt, auf … zu, unbrauchbar","Im Urlaubshotel sind die Zimmer mit Balkon zum Meer hin teurer als die Zimmer, die zur Straße hin liegen."
sollen,156,A1-B1,Verb,um das Erteilen eines Befehls oder Auftrags auszudrücken,"jmd. will, fordert, dass N etw. tut | jmd. will, dass N es weiß",müssen,Ich soll Wasser holen.
freund,157,A1-B1,Adjektiv,"freundlich gegenüber jemandem/etwas eingestellt, Zuneigung gegenüber jemandem/etwas hegend",,,Der alte Herr aus Freiburg ist mir flugs freund geworden.
unser,158,A1-B1,Pron,Personalpronomen 1. Person Plural Genitiv,,,"Da sie nur wenig Gäste hatten, schätzten sie sich unser glücklich."
essen,159,A1-B1,Verb,feste Nahrung oral einnehmen,"etw., meist feste Nahrung, zu sich nehmen","präpeln, verschmausen, fratzen, futtern, reinziehen",Wir haben schon gegessen.
bleiben,160,A1-B1,Verb,einen Ort beibehalten,einen Ort nicht verlassen | einen bestimmten Zustand beibehalten | übrig sein,"fallen, verbleiben, bestehen",Der Mann blieb zu Hause.
zusammen,161,A1-B1,Adverb,"gemeinschaftlich, miteinander; zum Beispiel etwas tun","gemeinsam, miteinander | beisammen, beieinander | insgesamt",,Die Nachbarskinder spielten zusammen.
unter,162,A1-B1,Prep,an einem tieferen Ort als,im (senkrechten) Abstand unterhalb von etw. gelegen | in unmittelbarer Berührung mit etw. Darüberliegendem | im (senkrechten) Abstand zu etw. Darüberliegendem,"zwischen, während",Der Keller liegt unter dem Erdgeschoss.
schnell,163,A1-B1,Adjektiv,"eine hohe Geschwindigkeit habend, das Gegenteil von langsam","in vergleichsweise kurzer Zeit (eine Entfernung zurücklegend) | in vergleichsweise kurzer Zeit (vor sich gehend, etw. leistend, bewirkend) | auf der Stelle, sofort",,Heute nehme ich den schnelleren Zug.
tot,164,A1-B1,Adjektiv,nicht  lebend,"gestorben, nicht mehr am Leben | nicht weiterwirkend, nicht mehr produktiv | nicht weiterfunktionierend, nicht mehr in Betrieb","unlebendig, leblos",Newton ist tot.
erst,165,A1-B1,Adverb,"zuvor, vorher",zuerst | nicht eher als | nicht mehr als,"vorher, als Erstes, eben, gerade, zuerst",Erst musst du deine Eltern fragen!
rein,166,A1-B1,Adjektiv,ganz unverschmutzt,"ohne fremdartige Bestandteile, ungemischt, unverfälscht | uneingeschränkt, ungetrübt | fehlerfrei, akzentlos","sauber, unverdorben, anständig, blitzblank, picobello","Die Wäsche ist nicht nur sauber, sondern rein."
nehmen,167,A1-B1,Verb,eine Sache greifen,"etw., jmdn. (in einer bestimmten Absicht) ergreifen, erfassen | etw., jmdn. ergreifen, von seinem Platz entfernen und zu sich heranholen, mit sich mitführen | etw., jmdn. mit etw. umfassen, in etw. einschließen, hineinnehmen",greifen,Er nahm den Löffel aus der Tasse.
glauben,168,A1-B1,Verb,"religiös sein, an einen oder mehrere Götter glauben; in seinem Glauben überzeugt sein","etw. vermuten, annehmen, der Meinung sein | Dinge, die objektiv nicht bewiesen sind, aufgrund innerer Überzeugung für wahr halten | eine religiöse Überzeugung haben","annehmen, vertrauen, denken, vermuten, meinen",Er glaubt an Gott.
bringen,169,A1-B1,Verb,eine Sache oder eine Person von einem an einen anderen Ort bewegen,"etw. (in die Hand) nehmen und an einen Ort tragen, jmdm. übergeben | jmdn. an einen Ort begleiten | jmdn. unter Gewaltanwendung an einen Ort schaffen, an einen Ort zu gehen veranlassen",,Der Briefträger bringt mir einen Brief vom Gouverneur.
genug,170,A1-B1,Pron,ausreichend,"ausreichend, genügend | die Grenzen eines bestimmten Maßes erreichend oder überschreitend",,Es sind genug Lebensmittel für alle da.
scheiße,171,A1-B1,Adjektiv,sehr schlecht,"sehr schlecht, schlimm oder gemein | in hohem Maße, sehr","mies, unmöglich, schlecht, unerfreulich, uncool",„Ich finde ihn echt scheiße.“
brauchen,172,A1-B1,Verb,etwas brauchen:,"etw., jmdn. nötig haben | etw., jmdn. benötigen, einer Sache, jmds. bedürfen | etw. verwenden, gebrauchen","gebrauchen, benötigen, bedürfen, begehren",Ich gehe einkaufen. Brauchen wir noch Milch?
gegen,173,A1-B1,Particle,"dagegen, entgegen","auf etw. gerichtet, einer Sache zugewandt | in Richtung auf etw. zu | wider",,Er lehnte sich gegen die Wand.
sonst,174,A1-B1,Adverb,"für gewöhnlich, im allgemeinen, bei anderen Gelegenheiten, zu anderer Zeit als gerade jetzt","bei anderen Gelegenheiten, zu anderer Zeit, für gewöhnlich | ehedem, damals | darüber hinaus","noch, normalerweise, widrigenfalls, ansonsten, zusätzlich",Was machst du sonst so dieses Wochenende?
ihrer,175,A1-B1,Pron,Personalpronomen 3. Person Femininum Singular Genitiv,,,Er erbarmt sich ihrer.
fragen,176,A1-B1,Verb,"eine Auskunft erbitten, um eine Auskunft bitten, eine Frage stellen","sich an jmdn. mündlich oder auch schriftlich wenden, um etw. von ihm zu erfahren | sich an jmdn. mündlich oder auch schriftlich wenden, um etw. von ihm zu erhalten, jmdn. um etw. bitten | sich um etw., jmdn. nicht kümmern",,Ich frage nach dem Weg.
dabei,177,A1-B1,Adverb,in örtlicher Nähe,"dort in der Nähe | dazu, außerdem | bei dieser Tätigkeit, bei diesem Zustand, währenddessen","zugegen, in dieser Hinsicht, daran, zugleich",Ganz nahe dabei fließt ein Bach.
warten,178,A1-B1,Verb,"Zeit verstreichen lassen beziehungsweise untätig sein, bis ein bestimmter Zustand eintrifft","an einem Ort, in einem Zustand, in einer Situation kürzere oder längere Zeit bleiben in der Annahme, im Hinblick darauf, dass etw. eintreten wird, was diese Situation ändert, beendet | etw. noch nicht tun, bis jmd. eintrifft, etw. eintritt | jmd. trifft, etw. tritt über Erwarten lange nicht ein","instand halten, harren, in Schuss halten, in Stand halten, ausharren",„Am Themenweg Almzeit warten packend inszenierte Bergerlebnisse auf der Skigebietsseite und unberührte Naturräume auf der Stillen Seite von Sölden.“
niemand,179,A1-B1,Pron,"keiner, kein Mensch","kein Mensch, keiner","keine Sau, keiner, keine Menschenseele, kein Mensch, kein Schwein",Diesen Begriff kann niemand leicht erklären.
sofort,180,A1-B1,Adverb,"ohne irgendeine Verzögerung, auf der Stelle","unmittelbar darauf | ohne Zeitverlust, Verzögerung, unverzüglich","augenblicklich, stehenden Fußes, auf der Stelle",Bitte schließe sofort diese Tür.
bevor,181,A1-B1,Conj,"drückt aus, dass etwas zeitlich zuerst sein soll und danach erst das, was nach bevor genannt wird; bevor steht also für Nachzeitigkeit.","ehe, vor dem Zeitpunkt, da",ehe,"Du musst dich noch umziehen, bevor wir ins Theater gehen."
einmal,182,A1-B1,Adverb,nicht wiederholt,"ein einziges Mal, nicht mehrmals | ein letztes Mal | zu einer unbestimmten Zeit, irgendwann","früher, zukünftig, einst",Er gewann das Spiel nur einmal.
wann,183,A1-B1,Adverb,zu welchem Zeitpunkt,"zu welcher Zeit, um welche Zeit? | unter welcher Bedingung? | hin und wieder, ab und zu","Datum, Jahr, Monat, Uhrzeit",Wann hast du Schluss gemacht?
fertig,184,A1-B1,Adjektiv,"zu Ende geführt, zu einem Abschluss gebracht","(zu etw.) bereit | in seiner Herstellung, als Tätigkeit vollendet, zum Abschluss gediehen | reif, ausgeprägt","schachmatt, beendet, geschafft, vollendet, durchgebraten",Nächste Woche sind wir damit wohl fertig.
halt,185,A1-B1,Adverb,Gewohnheit und Beständigkeit betreffend,,,Das funktioniert so halt nicht.
allein,186,A1-B1,Adjektiv,"für sich, getrennt, einsam, einzeln sein; nur; ohne Beistand, Zeugen, Anwesenheit von anderen Personen, ohne Hilfe sein","einsam, ohne Gesellschaft | ohne Hilfe | nur",,Bei dieser Unternehmung sind wir allein.
sprechen,187,A1-B1,Verb,"mündliche Äußerungen in Form von Lauten, Wörtern und/oder Sätzen von sich geben","Gedanken mündlich darlegen, sich akustisch vernehmbar sinnvoll äußern | sich mit jmdm. unterhalten | es geht das Gerücht, dass …","kundtun, reden, mitteilen, äußern, kommunizieren","Sprich lauter, damit man dich auch versteht!"
verdammt,188,A1-B1,Adjektiv,"zu etwas gezwungen, veranlasst","widerwärtig, im höchsten Grade unangenehm | sehr groß | sehr, äußerst",verflucht,Sie wollte dem zu einem langen Krankenlager verdammten Kind ein bisschen Abwechslung verschaffen.
ne,189,A1-B1,Det,eine,nein,eene,Wenn du endlich mal ne Frau finden würdest … ( Audio⁽ᴵⁿᶠᵒ⁾)
jeder,190,A1-B1,Pron,ein Einzelner  zusammen mit allen anderen einer Gruppe,,"jedweder, ein jeder, jedermann, jeglicher, ein jeglicher",Jeder Schuss war ein Treffer.
gern,191,A1-B1,Adverb,mit Freude,"häufig, oft","möglichst, häufig, lieb, gerne, oft",Ich spiele gern Schach.
darüber,192,A1-B1,Adverb,im Raum oberhalb von etwas,über dem eben Erwähnten | über das eben Erwähnte | mehr als das,,"Befindet man sich im oberstes Geschoss eines Bauwerkes, so ist darüber dann das Dach."
halten,193,A1-B1,Verb,etwas durch Kraftausübung in Ruhe belassen oder bringen,"etw., jmdn. (mit den Händen) gefasst haben und nicht loslassen | etw., jmdn. nicht loslassen und damit vor Fall bewahren | etw. gefasst haben, irgendwohin bewegen und dort lassen","schätzen, wahren, bewahren, belassen, parieren",Ich halte dich fest im Arm.
wahr,194,A1-B1,Adjektiv,"der Wahrheit, Wirklichkeit, den Tatsachen entsprechend; wirklich geschehen, nicht ausgedacht oder erfunden","mit dem Objekt der Erkenntnis übereinstimmend, der Wirklichkeit, den Tatsachen entsprechend | wirklich, tatsächlich | richtig, recht, so wie es sein soll, seinen Namen wirklich verdienend","korrekt, zutreffend, richtig","Ist es wahr, dass du geheiratet hast?"
dazu,195,A1-B1,Adverb,"ergänzend, vervollständigend","für diesen Zweck, zu diesem Ziel, in diese, dieser Richtung | zu dieser Gruppe, Kategorie, Eigenschaft | was diese Sache angeht, hinsichtlich dieser Sache",,"Noch zwei, drei Anzeigen dazu, und wir haben diese Zielgruppe gut abgedeckt."
daran,196,A1-B1,Adverb,referenziert einen Gegenstand und bezeichnet die unmittelbare Berührung mit diesem,"an dem eben Erwähnten | an das eben Erwähnte | danach, dann",,Daran hängen sich im Normalfall immer zwei Personen.
denken,197,A1-B1,Verb,"geistig tätig sein, im Kopf formulieren","Verstandesarbeit leisten, etw. überlegen | gesinnt sein | etw. beabsichtigen, im Sinne haben",,Sabine denkt immer viel zu kompliziert.
dank,198,A1-B1,Prep,durch etwas oder jemanden; aufgrund etwas oder jemandes,"aufgrund von, durch",,„Drachenfliegen ist heute mindestens ebenso sicher wie Segelfliegen – dank enormer technischer Entwicklungen.“
lieber,199,A1-B1,Adverb,Komparativ von gern,etw. einer anderen Sache vorziehen | besser,besser,"Ich tue das lieber als alles, was du mir bisher vorgeschlagen hast."
egal,200,A1-B1,Adjektiv,gleichgültig,gleichartig | gleichgültig | immer,"wumpe, Erbse, wuppe, banane, schnuppe",Das ist mir so was von egal!
kennen,201,A1-B1,Verb,über jemanden/etwas Bescheid wissen,"über etw., jmdn. durch eigene Wahrnehmung und Erfahrung Bescheid wissen | etw., jmds. Namen wissen | etw. durch Studium in sein Wissen aufgenommen haben, über ein Wissen verfügen","sein, befreundet, bekannt, auskennen",Ich kenne die Gegend.
vergessen,202,A1-B1,Adjektiv,"in Moment/bestimmter Situation nicht daran gedacht, nicht daran erinnert","etw., jmdn. aus dem Gedächtnis verlieren, sich nicht mehr an etw., jmdn. erinnern | die Beherrschung verlieren, sich nicht beherrschen können",,„Jede ist für die andere da. Ob es mal ein vergessener Einkauf ist oder ein Auto in die Werkstatt muss.“
echt,203,A1-B1,Adjektiv,unverfälscht,"unverfälscht | reinrassig | wahr, aufrichtig",,Die Briefmarke ist echt und keine Fälschung.
